genres,imdb_title,movie_title
Drama|Mystery|Thriller,tt0119174,The Game
Adventure|Horror|Mystery,tt0384537,Silent Hill
Comedy|Sport,tt0191397,The Replacements
Comedy,tt1605630,American Reunion
Action|Crime|Drama|Mystery|Thriller,tt0120768,The Negotiator
Action|Thriller,tt2106361,Into the Storm
Action|Comedy|Crime|Thriller,tt0109254,Beverly Hills Cop III
Comedy|Fantasy|Horror,tt0099700,Gremlins 2: The New Batch
Crime|Drama,tt1872194,The Judge
Action|Thriller,tt0119874,The Peacemaker
Action|Horror|Sci-Fi|Thriller,tt0318627,Resident Evil: Apocalypse
Comedy|Drama|Romance,tt0317198,Bridget Jones: The Edge of Reason
Crime|Drama|Romance|Thriller,tt0313443,Out of Time
Action|Adventure|Thriller,tt0110725,On Deadly Ground
Action|Adventure|Family|Fantasy,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D
Adventure|Drama|Thriller,tt0163978,The Beach
Comedy|Drama|Romance,tt0350028,Raising Helen
Action|Crime|Thriller,tt1186367,Ninja Assassin
Drama|Romance|Sport,tt0126916,For Love of the Game
Crime|Drama|Mystery,tt0108967,A Touch of Frost
Comedy|Crime|Drama|Thriller,tt0117765,Striptease
Comedy|Family,tt1392197,Marmaduke
Drama|Fantasy,tt1212419,Hereafter
Crime|Mystery|Thriller,tt0264935,Murder by Numbers
Crime|Drama|Thriller,tt0367959,Hannibal Rising
Comedy|Drama|Romance,tt0160916,The Story of Us
Action|Adventure|Romance|Sci-Fi|Thriller,tt1517260,The Host
Action|Crime|Drama|Mystery|Thriller,tt0264395,Basic
Action|Crime|Drama|Mystery|Thriller,tt0309377,Blood Work
Action|Crime|Drama|Mystery|Thriller,tt0963178,The International
Action|Adventure|Sci-Fi|Thriller,tt0116225,Escape from L.A.
Drama|Mystery|Thriller,tt2355844,Twisted
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,tt0129167,The Iron Giant
Adventure|Comedy|Drama,tt0362270,The Life Aquatic with Steve Zissou
Action|Biography|Drama|History|War,tt1124037,Free State of Jones
Crime|Drama|Thriller,tt0289992,The Life of David Gale
Action|Comedy,tt0331933,Man of the House
Action|Crime|Drama|Thriller,tt2199571,Run All Night
Crime|Mystery|Thriller,tt0765443,Eastern Promises
Action|Adventure|Crime|Thriller,tt0378109,Into the Blue
Adventure|Biography|Drama|History|War,tt0151137,The Messenger: The Story of Joan of Arc
Adventure|Comedy|Fantasy,tt1240982,Your Highness
Drama|Mystery|Thriller,tt1462041,Dream House
Crime|Drama|Thriller,tt0119592,Mad City
Adventure|Comedy|Crime|Drama|Family,tt0109190,Baby's Day Out
Drama|Romance,tt0114345,The Scarlet Letter
Biography|Drama|Thriller,tt0977855,Fair Game
Action|Drama|Sci-Fi,tt2189221,Defiance
Action|Biography|Crime|Drama|Thriller,tt0421054,Domino
Crime|Drama|Thriller,tt0113451,Jade
Action|Sci-Fi|Thriller,tt1034032,Gamer
Drama|Fantasy|Romance,tt1559547,Beautiful Creatures
Comedy|Crime|Drama|Thriller,tt0266452,Death to Smoochy
Comedy,tt1608290,Zoolander 2
Comedy|Crime,tt0315824,The Big Bounce
Comedy|Sci-Fi,tt0181151,What Planet Are You From?
Action|Fantasy|Thriller,tt1502404,Drive Angry
Action|Crime|Drama|Mystery|Thriller,tt0891592,Street Fighter: The Legend of Chun-Li
Action|Sci-Fi|Thriller,tt0267804,The One
Drama|Romance|Sci-Fi,tt3006802,Outlander
Action|Adventure|Comedy|Crime|Music|Mystery,tt0098987,The Adventures of Ford Fairlane
Comedy|Drama|Music,tt1131729,Pirate Radio
Crime|Drama|Thriller,tt0181865,Traffic
Action|Adventure|Fantasy,tt0097576,Indiana Jones and the Last Crusade
Drama|Romance,tt1781769,Anna Karenina
Action|Crime|Drama|Sci-Fi|Thriller,tt1823672,Chappie
Crime|Drama|Mystery|Thriller,tt0145681,The Bone Collector
Crime|Drama|Thriller,tt0258000,Panic Room
Horror|Thriller,tt0473553,The Tooth Fairy
Action|Adventure|Comedy|Drama|War,tt0120188,Three Kings
Crime|Drama|Thriller,tt1014763,Child 44
Adventure|Comedy,tt0250687,Rat Race
Drama|Mystery|Sci-Fi,tt0272152,K-PAX
Comedy|Fantasy|Romance,tt0035423,Kate & Leopold
Comedy|Fantasy|Romance,tt0230030,Bedazzled
Crime|Drama|Music,tt0087089,The Cotton Club
Adventure|Crime|Drama|Western,tt0381849,3:10 to Yuma
Action|Thriller,tt2446042,Taken 3
Crime|Drama|Romance|Thriller,tt0120780,Out of Sight
Comedy|Drama|Thriller,tt0115798,The Cable Guy
Drama|Romance|War,tt0150433,Earth
Action|Comedy|Crime|Music|Romance|Thriller,tt0099422,Dick Tracy
Crime|Romance|Thriller,tt0155267,The Thomas Crown Affair
Biography|Comedy|Drama,tt0200027,Riding in Cars with Boys
Action|Adventure|Drama,tt0083944,First Blood
Adventure|Animation|Comedy|Family|Fantasy,tt0308353,Happily N'Ever After
Drama|Horror|Romance|Thriller,tt0117002,Mary Reilly
Comedy|Romance,tt0119738,My Best Friend's Wedding
Comedy|Romance,tt0265029,America's Sweethearts
Drama|Mystery|Thriller,tt0278504,Insomnia
Action|Adventure|Drama|Sci-Fi|Thriller,tt0117731,Star Trek: First Contact
Action|Drama|Fantasy|Thriller|Western,tt1075747,Jonah Hex
Action|Drama|Mystery|Thriller|War,tt0115956,Courage Under Fire
Comedy|Fantasy|Romance,tt0119528,Liar Liar
Biography|Crime|Drama|Thriller,tt1355631,The Infiltrator
Drama|History|War,tt0084132,Inchon
Comedy|Family|Fantasy,tt0109813,The Flintstones
Action|Crime|Thriller,tt1397280,Taken 2
Comedy,tt0306047,Scary Movie 3
Action|Comedy|Crime|Romance,tt0212346,Miss Congeniality
Action|Adventure|Family|Fantasy|Sci-Fi,tt0373051,Journey to the Center of the Earth
Comedy|Family|Romance,tt0368933,The Princess Diaries 2: Royal Engagement
Crime|Drama|Mystery|Thriller,tt0107798,The Pelican Brief
Crime|Drama|Mystery|Thriller,tt0109446,The Client
Adventure|Comedy|Drama,tt0825232,The Bucket List
Action|Thriller,tt0105112,Patriot Games
Comedy|Romance,tt0369735,Monster-in-Law
Crime|Drama|Mystery|Thriller,tt1392214,Prisoners
Crime|Drama|Thriller,tt0139654,Training Day
Adventure|Comedy|Sci-Fi,tt0177789,Galaxy Quest
Comedy,tt0257106,Scary Movie 2
Adventure|Comedy|Family|Musical,tt1204342,The Muppets
Action|Horror,tt0120611,Blade
Drama|Sport,tt0393162,Coach Carter
Drama|Thriller,tt0264472,Changing Lanes
Action|Adventure|Horror|Thriller,tt0118615,Anaconda
Comedy|Drama|Music|Romance,tt0200550,Coyote Ugly
Comedy|Drama|Romance,tt0314331,Love Actually
Adventure|Animation|Comedy|Family|Fantasy,tt0120623,A Bug's Life
Horror|Mystery|Thriller,tt0120681,From Hell
Action|Crime|Drama|Romance|Thriller,tt0111255,The Specialist
Comedy|Drama|Romance|Sport,tt0117918,Tin Cup
Comedy|Family,tt0063829,"Yours, Mine and Ours"
Comedy|Family|Romance|Sport,tt0384642,Kicking & Screaming
Adventure|Comedy|Sci-Fi,tt0371724,The Hitchhiker's Guide to the Galaxy
Comedy|Family|Fantasy|Romance,tt0396592,Fat Albert
Action|Horror|Sci-Fi|Thriller,tt0432021,Resident Evil: Extinction
Comedy|Romance,tt1086772,Blended
Adventure|Comedy|Drama,tt0408985,Last Holiday
Action|Adventure|Crime|Thriller,tt0110997,The River Wild
Drama|Family|Fantasy,tt0113419,The Indian in the Cupboard
Action|Crime|Thriller,tt0337921,Cellular
Action|Adventure|Comedy,tt0274166,Johnny English
Adventure|Animation|Comedy|Family|Fantasy,tt0429589,The Ant Bully
Action|Adventure|Sci-Fi,tt0087182,Dune
Drama|Fantasy|Musical|Romance,tt0445922,Across the Universe
Drama|Romance,tt0959337,Revolutionary Road
Action|Crime|Drama|Thriller,tt0450232,16 Blocks
Action|Adventure|Sci-Fi|Thriller,tt0364970,Babylon A.D.
Action|Comedy|Crime|Drama|Thriller,tt0116421,The Glimmer Man
Comedy|Romance|Sci-Fi,tt0117108,Multiplicity
Adventure|Comedy|Family|Fantasy|Sci-Fi,tt0775552,Aliens in the Attic
Crime|Drama|Mystery|Thriller,tt0237572,The Pledge
Comedy|Musical,tt0395251,The Producers
Action|Sci-Fi,tt1343727,Dredd
Action|Adventure|Comedy|Fantasy,tt0117331,The Phantom
Drama|Romance|Western,tt0149624,All the Pretty Horses
Mystery|Thriller,tt1139328,The Ghost Writer
Action|Adventure|Horror|Sci-Fi,tt0118956,Deep Rising
Action|Crime|Drama|Thriller|War,tt1046997,Miracle at St. Anna
Drama|Romance,tt0473444,Curse of the Golden Flower
Action|Crime|Thriller,tt0814022,Bangkok Dangerous
Comedy|Crime|Thriller,tt0246464,Big Trouble
Drama|Romance,tt0484740,Love in the Time of Cholera
Drama|Fantasy|Horror|Mystery,tt2521668,The Returned
Action|Thriller,tt0120107,Shadow Conspiracy
Action|Adventure|Comedy|Crime,tt1634122,Johnny English Reborn
Action|Animation|Comedy|Family|Fantasy,tt0249516,Foodfight!
Biography|Drama|History|Thriller,tt1024648,Argo
Action|Adventure|Crime|Drama|Mystery|Thriller,tt0106977,The Fugitive
Action|Comedy|Romance,tt1038919,The Bounty Hunter
Action|Adventure|Thriller|War,tt0089880,Rambo: First Blood Part II
Drama|Thriller,tt0116731,The Juror
Animation|Family|Fantasy|Musical,tt0032910,Pinocchio
Adventure|Drama|Western,tt0080855,Heaven's Gate
Action|Adventure|Fantasy|Sci-Fi|Thriller,tt0401855,Underworld: Evolution
Drama|Horror|Sci-Fi|Thriller,tt1976009,Victor Frankenstein
Drama,tt0181536,Finding Forrester
Comedy|Drama,tt0191754,28 Days
Action|Crime|Drama|Thriller,tt0342258,Unleashed
Comedy|Romance,tt0253867,The Sweetest Thing
Drama|Mystery|Thriller,tt0106918,The Firm
Drama|Fantasy|Romance,tt1438254,Charlie St. Cloud
Action|Crime|Thriller,tt0472399,The Mechanic
Action|Comedy|Crime,tt1232829,21 Jump Street
Comedy|Drama|Romance,tt0125439,Notting Hill
Adventure|Animation|Comedy|Drama|Family,tt0120630,Chicken Run
Comedy|Romance,tt0343135,Along Came Polly
Comedy|Drama|Romance,tt0103859,Boomerang
Action|Comedy|Crime,tt2404463,The Heat
Biography|Drama|History|Romance,tt0056937,Cleopatra
Action|Comedy|Sport,tt1648179,Here Comes the Boom
Crime|Drama|Mystery|Thriller,tt0257756,High Crimes
Comedy|Drama|Romance,tt0117057,The Mirror Has Two Faces
Drama|Horror|Mystery|Thriller,tt0265349,The Mothman Prophecies
Comedy,tt0889583,Brüno
Action|Adventure|Thriller,tt0097742,Licence to Kill
Fantasy|Horror|Mystery|Thriller,tt1486185,Red Riding Hood
Action|Crime|Drama|Thriller,tt0179626,15 Minutes
Adventure|Comedy|Family|Fantasy|Sci-Fi,tt0108255,Super Mario Bros.
Crime|Drama|Thriller,tt0399295,Lord of War
Action|Comedy|Crime|Romance|Thriller,tt1598828,One for the Money
Comedy,tt2788710,The Interview
Action|Fantasy|Western,tt1032751,The Warrior's Way
Action|Comedy|Crime,tt1149361,Micmacs
Drama|Music,tt0298203,8 Mile
Adventure|Animation|Comedy|Family,tt1220911,Animal Kingdom: Let's go Ape
Action|Adventure|Romance,tt0183790,A Knight's Tale
Action|Comedy|Fantasy,tt0288045,The Medallion
Drama|Mystery|Thriller,tt0167404,The Sixth Sense
Action|Crime|Thriller,tt1568338,Man on a Ledge
Comedy,tt1053810,The Big Year
Action|Drama|Family|Sport,tt0087538,The Karate Kid
Crime|Drama,tt1800241,American Hustle
Comedy|Drama|Romance,tt1041829,The Proposal
Crime|Mystery|Thriller,tt0150377,Double Jeopardy
Adventure|Comedy|Sci-Fi,tt0096874,Back to the Future Part II
Action|Sci-Fi|Thriller,tt2872732,Lucy
Drama|Romance,tt2322441,Fifty Shades of Grey
Action|Adventure|Comedy|Family|Sci-Fi,tt0338459,Spy Kids 3-D: Game Over
Crime|Drama|Thriller,tt0117913,A Time to Kill
Comedy|Family,tt0349205,Cheaper by the Dozen
Action|Biography|Drama|Thriller|War,tt1091191,Lone Survivor
Horror|Mystery|Thriller,tt3065204,The Conjuring 2
Biography|Drama,tt1285016,The Social Network
Comedy|Drama|Romance,tt1001508,He's Just Not That Into You
Comedy,tt0362120,Scary Movie 4
Horror|Mystery,tt0134084,Scream 3
Adventure|Comedy|Sci-Fi|Western,tt0099088,Back to the Future Part III
Comedy|Crime,tt2561572,Get Hard
Fantasy|Horror|Romance,tt0103874,Bram Stoker's Dracula
Biography|Drama|Romance,tt1135503,Julie & Julia
Biography|Drama|Sport,tt0453562,42
Crime|Drama|Thriller,tt0134119,The Talented Mr. Ripley
Comedy,tt2096672,Dumb and Dumber To
Adventure|Drama|Family,tt0397313,Eight Below
Comedy|Drama,tt2361509,The Intern
Action|Comedy,tt2869728,Ride Along 2
Action|Adventure|Drama|Romance|War,tt0104691,The Last of the Mohicans
Biography|Drama|Music,tt0350258,Ray
Crime|Drama|Mystery|Thriller,tt0443274,Vantage Point
Comedy|Romance,tt1155056,"I Love You, Man"
Comedy|Drama|Fantasy|Romance,tt0256380,Shallow Hal
Comedy|Crime,tt0421729,Big Momma's House 2
Adventure|Comedy|Crime|Romance,tt0236493,The Mexican
Biography|Drama|Sport|War,tt1809398,Unbroken
Comedy|Drama|Family|Fantasy|Romance,tt0974661,17 Again
Comedy|Romance,tt2203939,The Other Woman
Horror,tt1144884,The Final Destination
Drama|History|Thriller,tt3682448,Bridge of Spies
Action|Drama|Thriller|War,tt0159273,Behind Enemy Lines
Comedy|Music,tt1226229,Get Him to the Greek
Comedy|Drama|Romance,tt0358135,Shall We Dance
Action|Adventure|Comedy|Family|Sci-Fi,tt0122718,Small Soldiers
Action|Horror,tt0120177,Spawn
Action|Adventure|Drama|Romance|Thriller,tt0245844,The Count of Monte Cristo
Crime|Drama|Thriller,tt1189340,The Lincoln Lawyer
Action|Mystery|Thriller,tt1401152,Unknown
Drama|Mystery|Sci-Fi|Thriller,tt0482571,The Prestige
Comedy|Crime,tt2170439,Horrible Bosses 2
Adventure|Animation|Comedy|Family|Sci-Fi,tt0765446,Escape from Planet Earth
Action|Adventure|Drama|Thriller,tt0472043,Apocalypto
Action|Adventure|Thriller,tt0093428,The Living Daylights
Action|Adventure|Sci-Fi|Thriller,tt1424381,Predators
Comedy|Crime|Romance,tt0091396,Legal Eagles
Mystery|Thriller,tt0363988,Secret Window
Drama|Fantasy|Romance,tt0410297,The Lake House
Comedy|Drama|Family|Fantasy,tt1462769,The Odd Life of Timothy Green
Comedy|Romance,tt0866439,Made of Honor
Biography|Drama|Music|Musical,tt1742044,Jersey Boys
Crime|Drama|Thriller,tt0119978,The Rainmaker
Horror|Mystery|Thriller,tt0348836,Gothika
Drama|History,tt0118607,Amistad
Adventure|Drama|Romance,tt0104839,Medicine Man
Action|Horror|Sci-Fi|Thriller,tt0758730,Aliens vs. Predator: Requiem
Comedy|Family,tt0110989,Ri¢hie Ri¢h
Drama|Romance,tt0174480,Autumn in New York
Comedy|Music|Romance,tt0758766,Music and Lyrics
Adventure|Comedy|Sci-Fi,tt1092026,Paul
Comedy|Drama,tt1694020,The Guilt Trip
Horror|Mystery,tt1262416,Scream 4
Mystery|Thriller,tt0134273,8MM
Biography|Drama|Music|Musical,tt0101761,The Doors
Comedy,tt1956620,Sex Tape
Comedy|Drama,tt0162983,Hanging Up
Horror,tt1622979,Final Destination 5
Comedy|Crime|Romance,tt0130121,Mickey Blue Eyes
Drama,tt0223897,Pay It Forward
Comedy|Drama|Romance|Sport,tt0332047,Fever Pitch
Animation|Comedy|Family,tt0169414,Arthur
Comedy|Drama,tt0817538,Drillbit Taylor
Comedy|Western,tt2557490,A Million Ways to Die in the West
Action|Adventure|Crime|Fantasy|Mystery|Thriller,tt0111143,The Shadow
Adventure|Drama|Mystery,tt0477302,Extremely Loud & Incredibly Close
Comedy|Drama|Romance,tt1126618,Morning Glory
Biography|Crime|Drama|Music,tt0430308,Get Rich or Die Tryin'
Action|Adventure|Crime|Thriller,tt0160009,The Art of War
Drama|Musical|Romance,tt0294870,Rent
Crime|Drama|Horror|Thriller,tt0163983,Bless the Child
Comedy,tt0129280,The Out-of-Towners
Horror|Sci-Fi|Thriller,tt0116654,The Island of Dr. Moreau
Action|Adventure|Romance,tt0246544,The Musketeer
Biography|Drama|History|Romance,tt0467200,The Other Boleyn Girl
Drama|Romance,tt0230838,Sweet November
Horror|Thriller,tt0444682,The Reaping
Crime|Drama|Romance|Thriller,tt0070379,Mean Streets
Comedy|Drama,tt0110971,Renaissance Man
Action|Crime|Drama|Thriller,tt1657507,Colombiana
Adventure|Animation|Comedy|Drama|Family|Fantasy|Musical,tt0120800,The Magic Sword: Quest for Camelot
Crime|Drama|Mystery|Thriller,tt0269095,City by the Sea
Action|Comedy|Crime,tt0329691,Torque
Drama|Thriller,tt0115907,City Hall
Drama,tt0114436,Showgirls
Biography|Drama|History|Romance,tt0422720,Marie Antoinette
Action|Crime|Thriller,tt0113552,Kiss of Death
Action|Crime|Drama|Thriller,tt0208988,Get Carter
Drama|Thriller,tt1649419,The Impossible
Action|Adventure|Comedy|Music|Thriller,tt0093278,Ishtar
Adventure|Animation|Comedy|Crime|Family,tt0432283,Fantastic Mr. Fox
Comedy|Romance,tt0282687,Life or Something Like It
Comedy|Romance|Sci-Fi|Thriller,tt0104850,Memoirs of an Invisible Man
Comedy|Crime|Family|Romance,tt0363282,New York Minute
Comedy|Drama|Romance,tt0375173,Alfie
Biography|Drama|Romance,tt1430615,Big Miracle
Drama,tt0120646,The Deep End of the Ocean
Crime|Horror|Thriller,tt0295254,Feardotcom
Action|Adventure|Fantasy|Thriller,tt0450405,Cirque du Freak: The Vampire's Assistant
Drama|Horror|Sci-Fi|Thriller,tt1976009,Victor Frankenstein
Comedy,tt0266489,Duplex
Comedy|Drama|Music,tt1111948,Soul Men
Action|Adventure|Drama|Thriller,tt0081400,Raise the Titanic
Action|Sci-Fi,tt0176269,Universal Soldier: The Return
Action|Horror|Mystery|Sci-Fi|Thriller,tt1188729,Pandorum
Drama|Mystery|Sci-Fi|Thriller,tt0160399,Impostor
Action|Adventure|Thriller,tt0283160,Extreme Ops
Comedy|Fantasy|Sci-Fi,tt0189192,Just Visiting
Adventure|Sci-Fi|Thriller,tt0448134,Sunshine
Comedy|Drama,tt0763831,A Thousand Words
Adventure|Animation|Comedy|Fantasy|Romance,tt0361500,Delgo
Action|Crime|Drama|Mystery|Thriller,tt2515034,The Gunman
Action|Adventure|Family|Thriller,tt0457495,Alex Rider: Operation Stormbreaker
Drama|Mystery|Thriller,tt0486822,Disturbia
Comedy|Crime|Drama|Thriller,tt0113243,Hackers
Adventure|Comedy|Drama|Romance|Thriller|War,tt0455782,The Hunting Party
Action|Drama|History|Romance|War,tt0913968,The Warlords
Drama|History|War,tt0374089,Nomad: The Warrior
Action|Drama|Sci-Fi|Thriller,tt1706620,Snowpiercer
Adventure|Animation|Comedy|Fantasy|Music|Romance,tt0961097,A Monster in Paris
Comedy,tt0357054,The Last Shot
Action|Drama|Fantasy,tt0109506,The Crow
Action|Adventure|Drama|Fantasy|War,tt2631186,Baahubali: The Beginning
Drama|Fantasy|Romance|Sci-Fi,tt0452694,The Time Traveler's Wife
Comedy|Romance,tt0490084,Because I Said So
Action|Crime|Thriller,tt0232500,The Fast and the Furious
Action|Adventure|Sci-Fi|Thriller,tt0379786,Serenity
Biography|Drama|Romance|Sport,tt0312329,Against the Ropes
Action|Comedy|Sci-Fi,tt0086393,Superman III
Comedy|Sport,tt1661382,Grudge Match
Action|Adventure|Drama|History|War,tt0425637,Red Cliff
Comedy|Romance,tt0256415,Sweet Home Alabama
Comedy|Romance,tt1142988,The Ugly Truth
Comedy,tt0117608,Sgt. Bilko
Action|Adventure|Comedy|Family|Sci-Fi,tt0287717,Spy Kids 2: Island of Lost Dreams
Action|Adventure|Mystery|Sci-Fi|Thriller,tt0111280,Star Trek: Generations
Action|Biography|Drama,tt1462900,The Grandmaster
Drama|Romance,tt1067583,Water for Elephants
Comedy|Family|Sci-Fi,tt0115082,3rd Rock from the Sun
Adventure|Animation|Family|Fantasy,tt2911342,Dragon Nest: Warriors' Dawn
Crime|Drama|Thriller,tt0278435,Enough
Comedy|Crime|Romance,tt0125022,Heartbreakers
Action|Comedy|Crime,tt3450650,Paul Blart: Mall Cop 2
Drama|Romance,tt0225071,Angel Eyes
Comedy|Drama,tt0279889,Joe Somebody
Mystery|Thriller,tt0142688,The Ninth Gate
Crime|Drama|Mystery|Thriller,tt0116259,Extreme Measures
Drama|Music,tt0202470,Rock Star
Drama,tt0929632,Precious
Adventure|Drama,tt0118158,White Squall
Horror|Mystery|Sci-Fi,tt0084787,The Thing
Action|Sci-Fi|Thriller,tt1411250,Riddick
Crime|Mystery|Thriller,tt0119210,Switchback
Action|Adventure|Drama|Thriller|Western,tt0193560,Texas Rangers
Adventure|Family|Fantasy|Sci-Fi,tt0970411,City of Ember
Drama,tt1560747,The Master
Adventure|Comedy|History|Romance,tt0437954,Virgin Territory
Action|Adventure|Sci-Fi|Thriller,tt2304933,The 5th Wave
Drama|Sport,tt3076658,Creed
Crime|Drama|Thriller,tt0840361,The Town
Comedy|Drama|Romance,tt1586265,What to Expect When You're Expecting
Comedy|Drama,tt0887883,Burn After Reading
Adventure|Comedy|Family|Fantasy,tt0410377,Nim's Island
Action|Biography|Drama|Sport,tt1979320,Rush
Drama,tt0175880,Magnolia
Action|Comedy|Crime,tt1385867,Cop Out
Comedy|Romance,tt1292566,How to Be Single
Drama|Family,tt1564349,Dolphin Tale
Drama|Fantasy|Romance,tt1099212,Twilight
Crime|Drama|Thriller,tt0251160,John Q
Action|Comedy|Crime|Thriller,tt0181316,Blue Streak
Comedy|Crime,tt1723121,We're the Millers
Action|Adventure|Sci-Fi,tt0972558,Obitaemyy ostrov
Action|Crime|Drama|Mystery|Thriller,tt0118771,Breakdown
Action|Adventure|Thriller,tt0086006,Never Say Never Again
Comedy|Sci-Fi,tt1231587,Hot Tub Time Machine
Drama|Family,tt2978462,Dolphin Tale 2
Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,tt0184858,Reindeer Games
Action|Crime|Drama|Thriller,tt0266465,A Man Apart
Comedy|Drama|Romance,tt1243974,Aloha
Drama|History,tt0116410,Ghosts of Mississippi
Drama|Mystery|Romance|Thriller,tt0120834,Snow Falling on Cedars
Drama|Horror|Mystery|Thriller,tt1161864,The Rite
Drama|Sci-Fi|Thriller,tt0119177,Gattaca
Biography|Comedy|Romance,tt0141399,Isn't She Great
Adventure|Animation|Comedy|Family|Sci-Fi,tt0482603,Space Chimps
Comedy,tt0325537,Head of State
Comedy,tt1119646,The Hangover
Action|Biography|Drama|History,tt2888046,Ip Man 3
Action|Adventure|Comedy|Crime,tt0145660,Austin Powers: The Spy Who Shagged Me
Action|Adventure,tt0096895,Batman
Biography|Drama|War,tt1316616,There Be Dragons
Action|Crime|Thriller,tt0104714,Lethal Weapon 3
Biography|Drama|Sport,tt0878804,The Blind Side
Action|Comedy|Crime,tt4085584,Rush Hour
Action|Adventure|Comedy|Family|Sci-Fi,tt0227538,Spy Kids
Comedy|Crime,tt1499658,Horrible Bosses
Adventure|Drama|Western,tt1403865,True Grit
Comedy|Drama|Romance,tt0458352,The Devil Wears Prada
Adventure|Mystery|Sci-Fi,tt0079945,Star Trek: The Motion Picture
Comedy|Crime,tt2024432,Identity Thief
Crime|Thriller,tt0101540,Cape Fear
Crime|Drama|Thriller,tt0478087,21
Comedy|Romance,tt3152624,Trainwreck
Comedy|Romance,tt0372237,Guess Who
Drama|Romance|War,tt0116209,The English Patient
Crime|Drama|Mystery|Thriller,tt0119488,L.A. Confidential
Adventure|Comedy|Family|Sci-Fi,tt0405325,Sky High
Comedy,tt0119360,In & Out
Action|Horror|Sci-Fi|Thriller,tt0114508,Species
Horror,tt0087800,A Nightmare on Elm Street
Horror|Sci-Fi|Thriller,tt0209958,The Cell
Action|Adventure,tt0120744,The Man in the Iron Mask
Biography|Drama|Family|History|Sport,tt1028576,Secretariat
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,tt0453556,TMNT
Biography|Drama|Sport,tt0316465,Radio
Comedy|Romance,tt1632708,Friends with Benefits
Comedy,tt4438848,Neighbors 2: Sorority Rising
Biography|Comedy|Drama|History|Music,tt2140373,Saving Mr. Banks
Biography|Drama|History|Romance,tt0104797,Malcolm X
Comedy,tt1758830,This Is 40
Comedy|Family,tt0976238,Old Dogs
Action|Adventure|Fantasy|Sci-Fi|Thriller,tt0834001,Underworld: Rise of the Lycans
Comedy|Romance,tt0762114,License to Wed
Comedy|Romance|Sport,tt0437863,The Benchwarmers
Comedy|Romance,tt0417001,Must Love Dogs
Biography|Crime|Drama,tt0119008,Donnie Brasco
Action|Horror|Sci-Fi,tt0120804,Resident Evil
Fantasy|Horror,tt0084516,Poltergeist
Comedy|Crime|Thriller,tt0335245,The Ladykillers
Action|Crime|Drama|Mystery|Thriller,tt0467197,Max Payne
Action|Sci-Fi|Thriller,tt1637688,In Time
Comedy|Romance,tt1212436,The Back-up Plan
Comedy|Drama|Romance,tt0491152,Something Borrowed
Drama|Romance,tt2368645,Hit the Floor
Adventure|Comedy|Fantasy,tt0265087,Black Knight
Comedy|Drama|Family|Sport,tt0074174,The Bad News Bears
Action|Adventure|Comedy|Thriller,tt0111301,Street Fighter
Horror|Mystery|Thriller,tt0120681,From Hell
Drama|Family|Fantasy,tt0762121,The Nativity Story
Horror,tt0397065,House of Wax
Drama|Romance,tt0376541,Closer
Biography|Crime|Drama,tt1616195,J. Edgar
Horror|Mystery,tt0790686,Mirrors
Drama|Fantasy|Horror,tt0238546,Queen of the Damned
Action|Horror|Sci-Fi,tt0100403,Predator 2
Crime|Drama|Thriller,tt0880578,Untraceable
Comedy|Drama|Romance|Sci-Fi,tt0124298,Blast from the Past
Action|Adventure|Sci-Fi,tt0080745,Flash Gordon
Comedy|Drama|Romance,tt0300051,Jersey Girl
Action|Crime|Mystery|Thriller,tt1712170,Alex Cross
Crime|Drama|Mystery|Thriller,tt0119668,Midnight in the Garden of Good and Evil
Action|Crime|Thriller,tt3276924,Heist
Comedy|Family|Fantasy,tt1415283,Nanny McPhee Returns
Biography|Crime|Drama,tt0104427,Hoffa
Drama|Mystery|Sci-Fi|Thriller,tt0443701,The X Files: I Want to Believe
Comedy|Family|Fantasy|Romance,tt0327679,Ella Enchanted
Biography|Drama|Sport,tt3322364,Concussion
Action|Mystery|Thriller,tt1600195,Abduction
Adventure|Animation|Comedy|Family|War,tt0361089,Valiant
Comedy|Drama,tt0185014,Wonder Boys
Action|Comedy|Sci-Fi|Thriller,tt0426592,Superhero Movie
Crime|Drama|Thriller,tt1235522,Broken City
Comedy|Horror,tt0257516,Cursed
Action|Crime|Thriller,tt1547234,Premium Rush
Action|Comedy|Crime,tt2967224,Hot Pursuit
Adventure|Drama|Romance|War,tt0240510,The Four Feathers
Action|Crime|Romance|Thriller,tt1904996,Parker
Comedy|Romance|Sport,tt0360201,Wimbledon
Comedy|Family,tt0492389,Furry Vengeance
Action|Horror|Sci-Fi,tt1438173,Bait
Action|Adventure|Fantasy,tt0085811,Krull
Drama|Thriller|War,tt0891527,Lions for Lambs
Action|Drama|Thriller|War,tt0099587,Flight of the Intruder
Comedy|Music,tt0841046,Walk Hard: The Dewey Cox Story
Drama,tt0120824,The Shipping News
Action|Western,tt0244000,American Outlaws
Biography|Drama|History|Romance,tt0962736,The Young Victoria
Action|Crime|Mystery|Thriller,tt0365929,Whiteout
Drama|Fantasy,tt0478304,The Tree of Life
Action|Comedy|Thriller,tt0120724,Knock Off
